language_ID,filename,meansynratio,meanmorphratio,syn.sd,morph.sd,area,language_name,latitude,longitude,glottocode,region,macro_region,country_id,language_type,abbr,spread,migration,contact_languages,contact_languages_names,all_L1,natives,non_natives,ewave,corpus
2,ANS_001,0.945073483560658,-0.96850365143196,0.024896849746336,0.0172755951259816,ANS,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ANS_002,0.945608518756893,-0.965649048329465,0.0242571110695816,0.0157523958700335,ANS,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ANS_003,0.947812546496411,-0.963661714297091,0.0309486765660443,0.0170789769267156,ANS,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,ANS_004,0.947611567898343,-0.96411824405924,0.0277763025562618,0.0164740709172407,ANS,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
2,BAN_001,0.944263594500485,-0.965474886552963,0.0267977146525488,0.015876754781362,BAN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
7,CON_001,0.946332586560898,-0.963059491940718,0.029952654576217,0.0151866404515563,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,CON_002,0.948353409764704,-0.962987415323803,0.0303027589168385,0.0159621833856302,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,CON_003,0.946272217367587,-0.963845078753228,0.0247757743645337,0.0154356455814769,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,CON_004,0.948494545711575,-0.964841726509117,0.0281834205501831,0.0158864412649186,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,CON_005,0.944012630772186,-0.962829676876886,0.0237521344516262,0.0149238703985362,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,CON_006,0.948598026204061,-0.964338283601619,0.0291215063016054,0.0160203565338908,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,CON_007,0.943648853370472,-0.961409146715655,0.0253621550007471,0.0135227746107056,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,CON_008,0.942149263743206,-0.962779227330486,0.0226163483699605,0.0131286432909591,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,CON_009,0.94406321604878,-0.962940290798753,0.0231644773869142,0.0139701141343649,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,CON_010,0.940781193164427,-0.960974948396339,0.023005179441664,0.0129084699301751,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,CON_011,0.942855180215052,-0.962437091475599,0.0213124771506599,0.0130105629107819,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,CON_012,0.945014643664761,-0.962345466489244,0.0253398133390761,0.0130430591576433,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
5,DEN_001,0.940883136151809,-0.964006995954001,0.0226374826772495,0.0151353791788328,DEN,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes,FRED
5,DEN_002,0.942939955410388,-0.962041985804355,0.0241273681125962,0.0136579374251857,DEN,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes,FRED
5,DEN_003,0.942799033574455,-0.960999532209658,0.0248330079666255,0.0136264731085303,DEN,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes,FRED
5,DEN_004,0.941830415755693,-0.964076325342716,0.0240442903616749,0.0148172250074997,DEN,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes,FRED
7,DEV_001,0.942112595951343,-0.963601664049745,0.0239460774324459,0.0151588581245771,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,DEV_002,0.942440868823128,-0.962636302522331,0.0250889068768334,0.0144531386915422,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,DEV_003,0.939483596878368,-0.967464821142137,0.022808727867661,0.01612387219935,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,DEV_004,0.945999423846806,-0.967848327288479,0.0291413066542774,0.0201346351686473,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,DEV_005,0.94206039812205,-0.962858274692313,0.0235283572986157,0.0144030067165056,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,DEV_006,0.933834709314621,-0.97786477487873,0.0202385502625093,0.0210478874362007,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,DEV_007,0.94687156575479,-0.963499135918109,0.0272584443111466,0.0146632980490256,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,DEV_008,0.943905433424085,-0.967729262818551,0.0262874499682722,0.0170517408259561,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,DEV_009,0.940978259353943,-0.962787753042121,0.0225493426758524,0.0130493911805597,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,DEV_010,0.942864470943698,-0.975478046463218,0.0215208621667214,0.0236802043850215,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
7,DEV_011,0.942889521205458,-0.963667691688474,0.0229568325345293,0.0145696614967995,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes,FRED
2,DFS_001,0.94611885451889,-0.963613969959163,0.0294222266658194,0.0161306002058839,DFS,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
6,DUR_001,0.947524731789586,-0.974188077409909,0.0241832670849352,0.0222941710435114,DUR,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes,FRED
6,DUR_002,0.944258301452357,-0.964939959023317,0.0246059186023787,0.0151300352477787,DUR,English dialects in the North of England,53.7,-1.7,"",BI,BI,GB,L1t,North,37331,6033,0,"",17,4197167,481,yes,FRED
