language_ID,filename,meansynratio,meanmorphratio,syn.sd,morph.sd,area,language_name,latitude,longitude,glottocode,region,macro_region,country_id,language_type,abbr,spread,migration,contact_languages,contact_languages_names,all_L1,natives,non_natives,ewave
2,ANS_003,0.947812546496411,-0.963661714297091,0.0309486765660443,0.0170789769267156,ANS,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
7,CON_001,0.946332586560898,-0.963059491940718,0.029952654576217,0.0151866404515563,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,CON_002,0.948353409764704,-0.962987415323803,0.0303027589168385,0.0159621833856302,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,CON_003,0.946272217367587,-0.963845078753228,0.0247757743645337,0.0154356455814769,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,CON_005,0.944012630772186,-0.962829676876886,0.0237521344516262,0.0149238703985362,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,CON_007,0.943648853370472,-0.961409146715655,0.0253621550007471,0.0135227746107056,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,CON_008,0.942149263743206,-0.962779227330486,0.0226163483699605,0.0131286432909591,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,CON_009,0.94406321604878,-0.962940290798753,0.0231644773869142,0.0139701141343649,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,CON_010,0.940781193164427,-0.960974948396339,0.023005179441664,0.0129084699301751,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,CON_011,0.942855180215052,-0.962437091475599,0.0213124771506599,0.0130105629107819,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,CON_012,0.945014643664761,-0.962345466489244,0.0253398133390761,0.0130430591576433,CON,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
5,DEN_002,0.942939955410388,-0.962041985804355,0.0241273681125962,0.0136579374251857,DEN,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes
5,DEN_003,0.942799033574455,-0.960999532209658,0.0248330079666255,0.0136264731085303,DEN,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes
7,DEV_001,0.942112595951343,-0.963601664049745,0.0239460774324459,0.0151588581245771,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,DEV_002,0.942440868823128,-0.962636302522331,0.0250889068768334,0.0144531386915422,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,DEV_005,0.94206039812205,-0.962858274692313,0.0235283572986157,0.0144030067165056,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,DEV_007,0.94687156575479,-0.963499135918109,0.0272584443111466,0.0146632980490256,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,DEV_009,0.940978259353943,-0.962787753042121,0.0225493426758524,0.0130493911805597,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
7,DEV_011,0.942889521205458,-0.963667691688474,0.0229568325345293,0.0145696614967995,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
2,DFS_001,0.94611885451889,-0.963613969959163,0.0294222266658194,0.0161306002058839,DFS,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
2,ELN_003,0.944104091621207,-0.963465829913272,0.0274984053040757,0.0147555144963939,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
2,ELN_004,0.943132587464905,-0.960438712631892,0.0266069037809249,0.0139427215327506,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
2,ELN_008,0.943749423032209,-0.962634148259305,0.0268616368753509,0.0161685536226343,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
2,ELN_009,0.943292044104377,-0.962182316944588,0.0241982999937958,0.0145242559657176,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
2,ELN_012,0.942969563947485,-0.961628724004096,0.0253605378382426,0.0127448007342033,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
2,ELN_013,0.940512195946974,-0.961646422504058,0.0213916457128036,0.0129913837726271,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
2,ELN_015,0.945184249683853,-0.962974922236808,0.0280877347380852,0.0171816540377148,ELN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
5,GLA_004,0.943284873758021,-0.963351960497325,0.0245031205358438,0.0147748590208789,GLA,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes
5,GLA_006,0.938985914518301,-0.963149364912895,0.0206508696923524,0.0145140013831439,GLA,Welsh English,52.3,-3.5,wels1248,BI,BI,GB,L1c,WelE,20779,6033,0,"",17,2668660,96856,yes
