language_ID,filename,meansynratio,meanmorphratio,syn.sd,morph.sd,area,language_name,latitude,longitude,glottocode,region,macro_region,country_id,language_type,abbr,spread,migration,contact_languages,contact_languages_names,all_L1,natives,non_natives,ewave
7,DEV_006,0.933834709314621,-0.97786477487873,0.0202385502625093,0.0210478874362007,DEV,English dialects in the Southwest of England,50.8,-4,"",BI,BI,GB,L1t,SW,9200,6033,0,"",17,1171642,89,yes
2,KRS_001,0.933026967092567,-0.968377598453423,0.0193584225087619,0.0157478275135703,KRS,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
2,PER_002,0.935469598809736,-0.964788597775894,0.0206818252318377,0.016949735730432,PER,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
80,SAL_023,0.934535096616756,-0.959609668365254,0.021419336293998,0.0135990590249532,SAL,English dialects in the Midlands,52.48,-1.89,"",BI,BI,GB,L1t,Mid,9778,6033,0,"",17,2154916,261,no
80,SAL_034,0.935285379799684,-0.961799061851891,0.021961493050304,0.0130953577880616,SAL,English dialects in the Midlands,52.48,-1.89,"",BI,BI,GB,L1t,Mid,9778,6033,0,"",17,2154916,261,no
80,WAR_001,0.93446135923085,-0.972593229667281,0.0186139181862318,0.017851950139913,WAR,English dialects in the Midlands,52.48,-1.89,"",BI,BI,GB,L1t,Mid,9778,6033,0,"",17,2154916,261,no
2,WLN_004,0.950050725322634,-0.966666149708565,0.0276248729511239,0.0167993832357272,WLN,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes
46,EA021,0.935502201018407,-0.976687064952813,0.0263101396566238,0.0154887637347048,EA,Kenyan English,-1.4,36.91,keny1281,Af,Af,KE,L2,KenE,569140,-351,2,Kiswahili/Kikuyu,78,2650281,341886210,yes
46,EA022,0.935640854042997,-0.976882559488495,0.0255364771145453,0.0179644144288983,EA,Kenyan English,-1.4,36.91,keny1281,Af,Af,KE,L2,KenE,569140,-351,2,Kiswahili/Kikuyu,78,2650281,341886210,yes
46,EA024,0.933618969879424,-0.999323475189209,0.0194297534110796,0.0248717877344645,EA,Kenyan English,-1.4,36.91,keny1281,Af,Af,KE,L2,KenE,569140,-351,2,Kiswahili/Kikuyu,78,2650281,341886210,yes
46,EA028,0.934282257905283,-0.983913136972479,0.0238025281837798,0.0221326306064864,EA,Kenyan English,-1.4,36.91,keny1281,Af,Af,KE,L2,KenE,569140,-351,2,Kiswahili/Kikuyu,78,2650281,341886210,yes
46,EA029,0.933118219709452,-0.988866081834034,0.0271192039093419,0.0230759284481606,EA,Kenyan English,-1.4,36.91,keny1281,Af,Af,KE,L2,KenE,569140,-351,2,Kiswahili/Kikuyu,78,2650281,341886210,yes
39,GH069,0.932613091162634,-0.97465308257398,0.0467171993501528,0.0184543120835539,GH,Ghanaian English,7.36,-1.42,ghan1247,Af,Af,GH,L2,GhE,227533,-381,2,Akan/Ewe,90,1407632,16713508,yes
56,HK008,0.950110102434417,-0.980384217135536,0.0342364604207,0.0200752033617829,HK,Hong Kong English,22.26,114.25,hong1245,As,As,HK,L2,HKE,1073,-2599,1,Cantonese,4,330782,3323559,yes
56,HK012,0.949844762856166,-0.982437625239781,0.0357920305072455,0.0204384699204489,HK,Hong Kong English,22.26,114.25,hong1245,As,As,HK,L2,HKE,1073,-2599,1,Cantonese,4,330782,3323559,yes
56,HK029,0.950811804843899,-0.983910416249937,0.0383934620699084,0.0217303179658215,HK,Hong Kong English,22.26,114.25,hong1245,As,As,HK,L2,HKE,1073,-2599,1,Cantonese,4,330782,3323559,yes
56,HK037,0.950736826080197,-0.981077998392944,0.0356767490648874,0.0175360365821415,HK,Hong Kong English,22.26,114.25,hong1245,As,As,HK,L2,HKE,1073,-2599,1,Cantonese,4,330782,3323559,yes
56,HK046,0.952800030260561,-0.98535897207372,0.0373551320255101,0.0229586072102,HK,Hong Kong English,22.26,114.25,hong1245,As,As,HK,L2,HKE,1073,-2599,1,Cantonese,4,330782,3323559,yes
56,HK068,0.951258280628361,-0.983774316156313,0.0375868392352258,0.0215639828106391,HK,Hong Kong English,22.26,114.25,hong1245,As,As,HK,L2,HKE,1073,-2599,1,Cantonese,4,330782,3323559,yes
3,IRE097,0.953933549645151,-0.980859922470593,0.0302523345333103,0.0209160109698675,IRE,Irish English,52.8,-7.8,iris1255,BI,BI,IE/GB,L1c,IrE,82430,6733,0,"",21,5067445,786703,yes
41,NG37,0.934617798693236,-0.972173582570049,0.0414967808102343,0.0133156933351517,NG,Nigerian English,9.1,7.38,nige1260,Af,Af,NG,L2,NigE,910768,-151,3,Hausa/Yoruba/Igbo,559,15364895,113102701,yes
41,NG67,0.934539533178847,-0.9725320939901,0.0425721796854647,0.0120647383782803,NG,Nigerian English,9.1,7.38,nige1260,Af,Af,NG,L2,NigE,910768,-151,3,Hausa/Yoruba/Igbo,559,15364895,113102701,yes
81,TT006,0.929285682738276,-0.977245178647975,0.0656557376951658,0.0154532558763501,TT,Trinidadian English,10.65,-61.47,trin1276,Ca,Ca,TT,L2,TTE,5128,885,0,"",3,1278000,222000,no
81,TT007,0.953307605110637,-0.991517418525159,0.0397235995975648,0.0285083261672134,TT,Trinidadian English,10.65,-61.47,trin1276,Ca,Ca,TT,L2,TTE,5128,885,0,"",3,1278000,222000,no
81,TT060,0.934847179495343,-0.975117304087201,0.0329522198348851,0.0190536254285063,TT,Trinidadian English,10.65,-61.47,trin1276,Ca,Ca,TT,L2,TTE,5128,885,0,"",3,1278000,222000,no
